ID CHIRURGIE;DATE CHIRURGIE;HEURE_DEBUT CHIRURGIE;HEURE_FIN CHIRURGIE;SALLE;CHIRURGIEN
1;18/11/2014;08:00:00;12:48:00;BLOC-E2;JAMES WILSON
2;29/03/2016;15:11:00;16:50:00;BLOC-U6;LAWRENCE KUTNER
3;25/10/2016;08:45:00;11:45:00;BLOC-U6;MEREDITH GREY
4;04/11/2016;11:18:00;13:38:00;BLOC-E3;DEREK SHEPHERD
5;09/10/2015;08:00:00;09:54:00;BLOC-E3;LISA CUDDY
6;15/01/2016;08:00:00;09:48:00;BLOC-E3;MIRANDA BAILEY
7;18/05/2014;23:00:00;23:36:00;BLOC-U6;CHRIS TAUB
8;23/06/2014;11:07:00;12:09:00;BLOC-E2;GREGORY HOUSE
9;18/10/2015;19:45:00;21:47:00;BLOC-U6;ROBERT CHASE
10;25/05/2014;19:15:00;20:05:00;BLOC-U6;LISA CUDDY
11;07/12/2015;14:00:00;17:15:00;BLOC-E2;LAWRENCE KUTNER
14;03/03/2016;09:00:00;13:10:00;BLOC-E1;MEREDITH GREY
16;01/02/2016;08:51:00;10:11:00;BLOC-U6;RICHARD WEBBER
17;03/02/2016;14:49:00;16:04:00;BLOC-E1;GREGORY HOUSE
18;13/07/2014;10:27:00;13:56:00;BLOC-U6;LISA CUDDY
19;22/06/2015;11:00:00;12:40:00;BLOC-E1;GREGORY HOUSE
22;03/08/2014;21:45:00;00:25:00;BLOC-U7;ROBERT CHASE
27;24/07/2014;11:49:00;14:53:00;BLOC-E2;LAWRENCE KUTNER
28;15/12/2014;08:00:00;09:45:00;BLOC-E3;MEREDITH GREY
29;21/09/2016;08:54:00;10:06:00;BLOC-E1;MIRANDA BAILEY
30;31/05/2015;21:15:00;22:04:00;BLOC-U6;LAWRENCE KUTNER
31;11/11/2016;13:50:00;14:30:00;BLOC-U6;KATHERINE HEIGL
32;24/09/2014;09:33:00;10:14:00;BLOC-E3;LAWRENCE KUTNER
33;13/02/2015;12:20:00;13:07:00;BLOC-E3;LAWRENCE KUTNER
34;07/08/2014;15:00:00;17:24:00;BLOC-U7;ERIC FOREMAN
35;29/06/2015;08:00:00;09:56:00;BLOC-E3;ROBERT CHASE
36;23/01/2016;11:00:00;13:35:00;BLOC-U6;RICHARD WEBBER
37;03/08/2016;08:00:00;09:44:00;BLOC-E3;MIRANDA BAILEY
38;25/11/2014;14:20:00;15:40:00;BLOC-E1;GREGORY HOUSE
39;28/09/2016;10:43:00;12:45:00;BLOC-E2;ALEX KAREV
40;15/09/2016;08:00:00;11:07:00;BLOC-E1;MEREDITH GREY
41;04/05/2015;08:00:00;10:13:00;BLOC-E2;ERIC FOREMAN
42;14/03/2016;15:38:00;17:18:00;BLOC-E1;LAWRENCE KUTNER
44;26/09/2014;13:55:00;16:18:00;BLOC-E1;LAWRENCE KUTNER
47;02/10/2014;11:18:00;13:16:00;BLOC-E2;CHRIS TAUB
48;15/03/2015;15:45:00;16:20:00;BLOC-U6;LAWRENCE KUTNER
49;19/05/2016;08:00:00;11:45:00;BLOC-E1;PRESTON BURKE
50;07/09/2016;09:45:00;11:46:00;BLOC-U7;OWEN HUNT
51;11/07/2014;13:20:00;15:54:00;BLOC-E2;REMY HADLEY
52;03/04/2014;08:00:00;09:45:00;BLOC-E2;CHRIS TAUB
53;19/02/2015;12:10:00;12:55:00;BLOC-E2;CHRIS TAUB
54;11/02/2015;09:31:00;14:10:00;BLOC-E1;ERIC FOREMAN
55;02/10/2015;13:50:00;15:50:00;BLOC-E2;JAMES WILSON
56;05/08/2015;22:50:00;23:45:00;BLOC-U6;ROBERT CHASE
57;29/06/2015;16:15:00;18:45:00;BLOC-U6;ROBERT CHASE
58;21/11/2014;22:10:00;22:30:00;BLOC-U6;REMY HADLEY
59;05/09/2016;08:00:00;12:26:00;BLOC-E1;ALEX KAREV
60;17/07/2014;22:54:00;23:55:00;BLOC-U6;LAWRENCE KUTNER
63;24/05/2014;22:20:00;23:35:00;BLOC-U6;LAWRENCE KUTNER
65;19/11/2016;17:10:00;18:50:00;BLOC-U6;CHRIS TAUB
67;29/01/2015;08:00:00;09:38:00;BLOC-E3;CHRIS TAUB
68;31/10/2014;14:03:00;14:37:00;BLOC-U6;ROBERT CHASE
69;05/03/2015;19:27:00;21:52:00;BLOC-U6;MIRANDA BAILEY
70;02/09/2014;08:00:00;09:42:00;BLOC-E2;ROBERT CHASE
71;04/05/2015;08:00:00;09:26:00;BLOC-E3;MEREDITH GREY
72;01/06/2015;10:13:00;10:40:00;BLOC-E3;MEREDITH GREY
73;17/04/2014;08:20:00;10:05:00;BLOC-E3;CHRIS TAUB
74;12/05/2015;00:00:00;01:29:00;BLOC-U6;LAWRENCE KUTNER
75;09/05/2016;11:02:00;12:28:00;BLOC-E2;ALEX KAREV
76;07/06/2016;19:36:00;20:09:00;BLOC-U6;RICHARD WEBBER
77;22/07/2016;19:10:00;19:50:00;BLOC-U6;MEREDITH GREY
78;16/03/2016;17:00:00;18:59:00;BLOC-E2;MIRANDA BAILEY
79;05/09/2014;13:43:00;15:09:00;BLOC-E1;GREGORY HOUSE
80;12/05/2014;10:25:00;12:26:00;BLOC-E1;ERIC FOREMAN
81;13/04/2015;22:38:00;23:19:00;BLOC-U6;LAWRENCE KUTNER
87;23/03/2016;13:30:00;14:48:00;BLOC-E1;GREGORY HOUSE
88;11/05/2015;12:25:00;13:15:00;BLOC-E3;LISA CUDDY
89;20/11/2014;12:49:00;15:12:00;BLOC-E1;ERIC FOREMAN
90;24/04/2015;10:35:00;12:47:00;BLOC-U6;LAWRENCE KUTNER
91;15/06/2015;08:00:00;09:24:00;BLOC-E3;LAWRENCE KUTNER
92;04/08/2014;11:36:00;13:27:00;BLOC-U7;ERIC FOREMAN
93;08/01/2014;08:00:00;10:43:00;BLOC-E3;LAWRENCE KUTNER
94;04/11/2016;10:13:00;10:50:00;BLOC-U7;MIRANDA BAILEY
95;06/05/2015;11:22:00;14:48:00;BLOC-U6;LAWRENCE KUTNER
96;05/03/2015;13:53:00;15:47:00;BLOC-E3;CHRIS TAUB
97;11/05/2015;14:48:00;16:41:00;BLOC-E3;LISA CUDDY
98;16/03/2015;12:13:00;13:51:00;BLOC-E1;ERIC FOREMAN
99;06/07/2014;13:45:00;15:44:00;BLOC-U6;REMY HADLEY
100;20/03/2014;14:05:00;15:09:00;BLOC-E1;ERIC FOREMAN
101;23/06/2014;20:30:00;21:32:00;BLOC-U6;REMY HADLEY
102;02/06/2016;15:00:00;15:40:00;BLOC-E3;CHRIS TAUB
103;17/02/2015;15:40:00;16:35:00;BLOC-E1;JAMES WILSON
104;03/08/2016;19:22:00;20:46:00;BLOC-U6;OWEN HUNT
105;20/10/2014;15:20:00;16:35:00;BLOC-E1;ERIC FOREMAN
106;29/10/2014;09:30:00;10:20:00;BLOC-U6;ROBERT CHASE
114;22/07/2014;11:01:00;11:57:00;BLOC-E2;GREGORY HOUSE
115;09/09/2016;10:15:00;11:10:00;BLOC-E3;MIRANDA BAILEY
116;06/06/2014;13:30:00;15:30:00;BLOC-E3;LISA CUDDY
117;07/04/2016;13:58:00;14:46:00;BLOC-E2;GREGORY HOUSE
118;07/10/2014;08:00:00;10:35:00;BLOC-E2;JAMES WILSON
119;04/11/2014;14:45:00;16:12:00;BLOC-E1;LAWRENCE KUTNER
120;28/01/2016;09:45:00;10:30:00;BLOC-E3;CHRIS TAUB
121;01/04/2016;08:00:00;09:49:00;BLOC-E3;MIRANDA BAILEY
